WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
311,ATG,PCPIEPCH,Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,Units,17.71,7.16,2.617,3.114,3.219,-0.721,1.967,5.822,5.518,4.88,7.861,3.206,2.862,-0.545,0.123,-1.265,3.187,-1.124,4.66,1.098,0.432,0.935,2.55,1.809,2.756,2.543,0.009,5.23,0.728,2.399,2.925,4.044,1.839,1.059,1.327,0.9,-1.121,2.356,1.739,0.689,2.778,1.216,9.25,3.282,6,2023
213,ARG,PCPI,Argentina,"Inflation, average consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.468,26.713,26.401,26.153,25.875,32.568,36.946,38.577,42.297,46.907,51.049,55.431,58.907,65.069,71.43,78.603,86.95,n/a,n/a,168.27,211.473,283.959,436.015,619.207,918.961,"1,584.57","3,699.80","11,835.09",2024
213,ARG,PCPIPCH,Argentina,"Inflation, average consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.925,-1.167,-0.939,-1.065,25.869,13.443,4.416,9.642,10.898,8.83,8.585,6.27,10.461,9.775,10.043,10.619,n/a,n/a,n/a,25.675,34.277,53.548,42.015,48.409,72.431,133.489,219.885,2024
213,ARG,PCPIE,Argentina,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.464,26.64,26.158,25.966,25.565,36.035,37.352,39.631,44.516,48.897,53.038,56.876,61.253,67.944,74.404,82.471,91.498,113.38,n/a,187.331,233.781,345.167,530.979,722.878,"1,091.12","2,125.43","6,618.76","14,413.26",2024
213,ARG,PCPIEPCH,Argentina,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.664,-1.81,-0.734,-1.544,40.953,3.656,6.101,12.327,9.841,8.468,7.238,7.695,10.923,9.508,10.842,10.946,23.915,n/a,n/a,24.796,47.646,53.832,36.141,50.942,94.793,211.408,117.764,2024
911,ARM,PCPI,Armenia,"Inflation, average consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.013,0.497,26.706,73.907,87.693,100,108.687,109.472,108.625,112.057,113.22,118.522,126.686,127.407,131.1,136.881,149.358,154.609,167.213,179.744,184.224,194.75,200.631,208.046,205.083,207.01,212.213,215.417,217.999,233.707,253.953,258.928,259.631,2022
911,ARM,PCPIPCH,Armenia,"Inflation, average consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,731.80","5,273.45",176.743,18.653,14.034,8.687,0.723,-0.774,3.16,1.038,4.682,6.889,0.569,2.899,4.409,9.115,3.516,8.152,7.494,2.492,5.714,3.02,3.696,-1.424,0.939,2.514,1.51,1.199,7.206,8.663,1.959,0.272,2022
911,ARM,PCPIE,Armenia,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.029,3.205,63.605,83.918,88.793,108.161,106.874,109.091,109.547,112.645,114.875,124.693,127.033,126.765,133.41,142.229,149.833,159.792,174.701,182.811,188.49,199.038,208.132,207.749,205.315,210.899,214.55,216.052,224.046,241.297,261.325,259.757,263.654,2022
911,ARM,PCPIEPCH,Armenia,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,896.20","1,884.55",31.935,5.809,21.813,-1.191,2.075,0.418,2.828,1.98,8.546,1.877,-0.211,5.242,6.611,5.346,6.647,9.33,4.642,3.107,5.596,4.569,-0.184,-1.172,2.72,1.731,0.7,3.7,7.7,8.3,-0.6,1.5,2022
314,ABW,PCPI,Aruba,"Inflation, average consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,37.995,39.378,40.607,42.227,44.692,47.173,48.999,51.557,54.797,56.667,58.463,60.22,61.343,62.738,65.294,67.178,69.405,71.942,73.762,76.268,79.021,83.279,90.741,88.802,90.647,94.613,95.153,92.896,93.288,93.729,92.858,91.903,95.235,98.985,97.687,98.413,103.848,107.34,109.178,2024
